conhecimento,item,tipoembalagem,quantidade,marca,contramarca,tipobloqueio1,motivobloqueio1,justificativabloqueio1,cpfresponsavelbloqueio1,nomeresponsavelbloqueio1,databloqueio1,horabloqueio1,desbloqueadopelotransportador1,cpfresponsaveldesbloqueio1,nomeresponsaveldesbloqueio1,datadesbloqueio1,horadesbloqueio1,justificativadesbloqueio1,tipobloqueio2,motivobloqueio2,justificativabloqueio2,cpfresponsavelbloqueio2,nomeresponsavelbloqueio2,databloqueio2,horabloqueio2,desbloqueadopelotransportador2,cpfresponsaveldesbloqueio2,nomeresponsaveldesbloqueio2,datadesbloqueio2,horadesbloqueio2,justificativadesbloqueio2,tipobloqueio3,motivobloqueio3,justificativabloqueio3,cpfresponsavelbloqueio3,nomeresponsavelbloqueio3,databloqueio3,horabloqueio3,desbloqueadopelotransportador3,cpfresponsaveldesbloqueio3,nomeresponsaveldesbloqueio3,datadesbloqueio3,horadesbloqueio3,justificativadesbloqueio3,tipobloqueio4,motivobloqueio4,justificativabloqueio4,cpfresponsavelbloqueio4,nomeresponsavelbloqueio4,databloqueio4,horabloqueio4,desbloqueadopelotransportador4,cpfresponsaveldesbloqueio4,nomeresponsaveldesbloqueio4,datadesbloqueio4,horadesbloqueio4,justificativadesbloqueio4,quantidadebloqueiosativos,quantidadebloqueiosinativos,indicadorhistoricobloqueio,indicadorhistoricopedidoretificacao,pesobrutoitem(kg),volumeitem(m3),codigomercadoriaperigosa,codigoclassemercadoriaperigosa
151707146896506,0001,outros,0000001,caterpillar inc.,pallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000001669,000","0000000004,240",,
151707146896697,0001,outros,0000001,caterpillar inc.,pallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000001669,000","0000000004,240",,
151707146528035,0003,outros,0000001,steimetz,kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000190,000","0000000000,447",,
151707148731091,0001,outros,0000004,roll-logistics brasil ltda,auto/truck parts& tires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000019200,000","0000000005,095",,
151707148731172,0001,outros,0000004,roll-logistics brasil ltda,auto/truck parts& tires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000019200,000","0000000002,638",,
151707148731253,0001,outros,0000004,roll-logistics brasil ltda,auto/truck parts& tires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000019200,000","0000000005,095",,
151707151366129,0001,outros,0000052,s/m,s/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000081933,000","0000001033,770",,
151707150388315,0001,pallets,0000001,caterpillar brasil,d6n xl tractor dcs-1 a57l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000001110,000","0000000002,500",,
151707150388749,0001,caixa de outros materiais,0000001,caterpillar brasil,d8t tractor a45l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000056,000","0000000000,180",,
151707150388749,0002,caixa de outros materiais,0000001,caterpillar brasil,d8t tractor a45l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000052,000","0000000000,120",,
151707150388749,0003,pallets,0000001,caterpillar brasil,d8t tractor a45l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000001000,000","0000000002,190",,
151707150388749,0004,caixa de outros materiais,0000001,caterpillar brasil,d8t tractor a45l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000890,000","0000000001,180",,
151707150388820,0001,pallets,0000001,caterpillar brasil,d8t tractor a45l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000001000,000","0000000001,800",,
151707150388820,0002,caixa de outros materiais,0000001,caterpillar brasil,d8t tractor a45l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000720,000","0000000000,750",,
151707150388820,0003,peca,0000001,caterpillar brasil,d8t tractor a45l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000003540,000","0000000010,650",,
151707150388820,0004,caixa de outros materiais,0000001,caterpillar brasil,d8t tractor a45l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000056,000","0000000000,180",,
151707150508744,0001,caixa de outros materiais,0000001,cnh brasil tecnica universal,8800dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000001,800","0000000014,780",,
151707150508744,0002,caixa de outros materiais,0000001,cnh brasil tecnica universal,8800dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000002,900","0000000022,240",,
151707150508744,0003,caixa de outros materiais,0000001,cnh brasil tecnica universal,8800dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000001,800","0000000014,780",,
151707150508744,0004,caixa de outros materiais,0000001,cnh brasil tecnica universal,8800dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000001,800","0000000014,780",,
151707150508744,0005,caixa de outros materiais,0000001,cnh brasil tecnica universal,8800dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000002,900","0000000022,240",,
151707150508744,0006,caixa de outros materiais,0000001,cnh brasil tecnica universal,8800dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000002,900","0000000022,240",,
151707150508744,0007,caixa de outros materiais,0000001,cnh brasil tecnica universal,8800dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000001,800","0000000014,780",,
151707150508744,0008,caixa de outros materiais,0000001,cnh brasil tecnica universal,8800dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000002,900","0000000022,240",,
151707150508744,0009,caixa de outros materiais,0000001,cnh brasil tecnica universal,8800dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000001,800","0000000014,780",,
151707150508744,0010,caixa de outros materiais,0000001,cnh brasil tecnica universal,8800dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000000002,900","0000000022,240",,
